ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
"S2301-06652020000202112-ury","Los principios fundamentales de la ética en la función pública uruguaya","Correa Freitas, Rubén","Revista de la Facultad de Derecho; (49); -","Revista de la Facultad de Derecho","Español","2020","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S2301-06652020000202112&lang=es" 
"S0124-74412019000200025-col","Conformación histórico-institucional en Colombia (1800-1950)","Vergara Varela, Rafael","Justicia; 24(36); 25-40","Justicia","Español","2019","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0124-74412019000200025&lang=es" 
"S1657-62762019000200040-col","Challenges for the Colombian central government in post-agreement financing","de la Puente Pacheco, Mario Alberto, Lugo Arias, Elkyn Rafael","Pensamiento &amp; Gestión; (47); 40-54","Pensamiento &amp; Gestión","Inglés","2019","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S1657-62762019000200040&lang=es" 
"S1390-42992019000200087-ecu","La Guardia Nacional y la militarización de la seguridad pública en México","Hernández, Gerardo, Romero-Arias, Carlos-Alfonso","URVIO Revista Latinoamericana de Estudios de Seguridad; (25); 87-106","URVIO Revista Latinoamericana de Estudios de Seguridad","Español","2019","http://scielo.senescyt.gob.ec/scielo.php?script=sci_arttext&pid=S1390-42992019000200087&lang=es" 
"S2301-06652019000203113-ury","Los actos sancionadores de la administración pública en materia agraria. Consideraciones en relación a su control","Espinosa Velázquez, Kenia Margarita","Revista de la Facultad de Derecho; (47); -","Revista de la Facultad de Derecho","Español","2019","http://www.scielo.edu.uy/scielo.php?script=sci_arttext&pid=S2301-06652019000203113&lang=es" 
"S0718-090X2019000300517-chl","Poder e influencia en contextos de prohibición de reelección consecutiva: el caso de la Cámara de Diputados de México","Vázquez Ferrel, Carlos, Díaz Domínguez, Alejandro","Revista de ciencia política (Santiago); 39(3); 517-546","Revista de ciencia política (Santiago)","Español","2019","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-090X2019000300517&lang=es" 
"S0121-50512019000400147-col","Generando buenas prácticas de innovación pública desde las regiones: &quot;piensa con i&quot;","Gaete Quezada, Ricardo, Acevedo Muñoz, Sebastián, Carmona Robles, Gabriel, Palta Layana, Olga","Innovar; 29(74); 147-159","Innovar","Español","2019","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0121-50512019000400147&lang=es" 
"S0120-30532019000200247-col","Estructura demográfica y desempeño financiero municipal en el departamento de Boyacá, Colombia","Pineda, Luis Felipe Fajardo","Apuntes del Cenes; 38(68); 247-272","Apuntes del Cenes","Español","2019","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-30532019000200247&lang=es" 
"S0718-591X2019000200213-chl","LA RESPONSABILIDAD POR FALTA DE SERVICIO EN LA ADMINISTRACIÓN HOSPITALARIA EN LA JURISPRUDENCIA CHILENA","VALDIVIA OLIVARES, JOSÉ MIGUEL","Revista de derecho (Concepción); 87(246); 213-246","Revista de derecho (Concepción)","Español","2019","http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0718-591X2019000200213&lang=es" 
"S1409-469X2019000200115-cri","LA CONSTRUCCIÓN DEL ESTADO POSREVOLUCIONARIO EN MÉXICO. UNA APROXIMACIÓN DESDE LA ADMNINISTRACIÓN PÚBLICA","Uhthoff López, Luz María","Diálogos Revista Electrónica de Historia; 20(2); 115-147","Diálogos Revista Electrónica de Historia","Español","2019","http://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S1409-469X2019000200115&lang=es" 
"S0122-98932019000300285-col","Los convenios de interés público y de asociación en el régimen de contratación pública colombiana","GÓMEZ VELASQUEZ, ALEJANDRO, DÍAZ DÍEZ, CRISTIAN ANDRÉS","Revista Derecho del Estado; (44); 285-325","Revista Derecho del Estado","Español","2019","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0122-98932019000300285&lang=es" 
"S2448-64422019000300689-mex","Excluir para proteger: la “guerra” contra la trata y el tráfico de migrantes y las nuevas lógicas de control migratorio en Ecuador","Ruiz Muriel, Martha Cecilia, Álvarez Velasco, Soledad","Estudios sociológicos; 37(111); 689-725","Estudios sociológicos","Español","2019","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2448-64422019000300689&lang=es" 
"S2395-86692019000300003-mex","La literatura sobre gobierno abierto en español. Análisis sobre las dinámicas de producción y citación","Barria Traverso, Diego, González-Bustamante, Bastián, Cisternas Guasch, Carla","Nóesis. Revista de ciencias sociales; 28(56); 22-42","Nóesis. Revista de ciencias sociales","Español","2019","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S2395-86692019000300003&lang=es" 
"S1405-84212019000300405-mex","Metodología incluyente para la valoración equilibrada de proyectos productivos regionales","López López, Maximiliano, Cruz Mejía, Oliverio","Economía, sociedad y territorio; 19(61); 405-449","Economía, sociedad y territorio","Español","2019","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-84212019000300405&lang=es" 
"S1405-10792019000200407-mex","Auditorías de desempeño en América Latina: ¿Mejoran la confianza en los gobiernos?","Yetano, Ana, Castillejos, Blanca Isela","Gestión y política pública; 28(2); 407-440","Gestión y política pública","Español","2019","http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1405-10792019000200407&lang=es" 
"S0120-81602019000200117-col","La administración estratégica en la calidad de la industria del vestido de Puebla, México","Burguete-Garcia, Mario Antonio, Romero y Cejudo, Enrique Darío, Acle-Mena, Ramón","Revista EAN; (87); 117-137","Revista EAN","Español","2019","http://www.scielo.org.co/scielo.php?script=sci_arttext&pid=S0120-81602019000200117&lang=es" 
